video_id,start_ms,end_ms,center_ms,guard_height
testvideo,4720,4970,4845,-0.024156216531991966
testvideo,4760,5010,4885,-0.018221452832222
testvideo,4800,5050,4925,-0.011145808867045819
testvideo,4840,5090,4965,-0.007951195750917708
testvideo,4880,5130,5005,-0.007908506052834647
testvideo,4920,5170,5045,-0.011659499257802956
testvideo,4960,5210,5085,-0.01527884230017662
testvideo,5000,5250,5125,-0.021948214088167464
testvideo,5040,5290,5165,-0.028049796819686907
testvideo,5080,5330,5205,-0.033416335071836216
testvideo,5120,5370,5245,-0.03945660218596459
testvideo,5160,5410,5285,-0.04297938197851182
testvideo,5200,5450,5325,-0.045624572783708586
testvideo,5240,5490,5365,-0.048132015126092095
testvideo,5280,5530,5405,-0.04803201981953211
testvideo,5320,5570,5445,-0.04679789766669272
testvideo,5360,5610,5485,-0.04627543687820433
testvideo,5400,5650,5525,-0.04492608085274696
testvideo,5440,5690,5565,-0.0430942986692701
testvideo,5480,5730,5605,-0.041893124580383294
testvideo,5520,5770,5645,-0.041079900094441
testvideo,5560,5810,5685,-0.04500809498131276
testvideo,5600,5850,5725,-0.04572628811001779
testvideo,5640,5890,5765,-0.04728619967188156
testvideo,5680,5930,5805,-0.046416380575725044
testvideo,5720,5970,5845,-0.044759141547339336
testvideo,5760,6010,5885,-0.04468461498618129
testvideo,5800,6050,5925,-0.04575338959693911
testvideo,5840,6090,5965,-0.037995519382613044
testvideo,5880,6130,6005,-0.02795399725437164
testvideo,5920,6170,6045,-0.017661643879754187
testvideo,5960,6210,6085,-0.005614187568426111
testvideo,6000,6250,6125,-0.0004232116043567345
testvideo,6040,6290,6165,0.014491404805864642
testvideo,6080,6330,6205,0.012939093368394074
testvideo,6120,6370,6245,0.0034302026033401728
testvideo,6160,6410,6285,-0.016383128240704512
testvideo,6200,6450,6325,-0.028996540233492827
testvideo,6240,6490,6365,-0.03784999065101144
testvideo,6280,6530,6405,-0.050459352987153185
testvideo,6320,6570,6445,-0.05743573180266787
testvideo,6360,6610,6485,-0.06100127287209031
testvideo,6400,6650,6525,-0.06199583783745763
testvideo,6440,6690,6565,-0.06146084517240522
testvideo,6480,6730,6605,-0.06194129586219786
testvideo,6520,6770,6645,-0.06355104701859608
testvideo,6560,6810,6685,-0.06316629477909633
testvideo,6600,6850,6725,-0.06361625343561172
testvideo,6640,6890,6765,-0.06376223638653755
testvideo,6680,6930,6805,-0.06518073592867171
testvideo,6720,6970,6845,-0.06427305936813356
testvideo,6760,7010,6885,-0.062425230230603916
testvideo,6800,7050,6925,-0.06157566979527475
testvideo,6840,7090,6965,-0.06173024326562883
testvideo,6880,7130,7005,-0.06182756168501719
testvideo,6920,7170,7045,-0.06253017698015487
testvideo,6960,7210,7085,-0.06443007928984507
testvideo,7000,7250,7125,-0.06717097014188766
testvideo,7040,7290,7165,-0.06967801973223685
testvideo,7080,7330,7205,-0.07009950280189513
testvideo,7120,7370,7245,-0.0705718227795192
testvideo,7160,7410,7285,-0.0709967357771737
testvideo,7200,7450,7325,-0.07319014891982076
testvideo,7240,7490,7365,-0.0751417465507984
testvideo,7280,7530,7405,-0.07710012793540955
testvideo,7320,7570,7445,-0.08011393461908613
testvideo,7360,7610,7485,-0.08403170534542628
testvideo,7400,7650,7525,-0.08925504609942438
testvideo,7440,7690,7565,-0.09162764996290208
testvideo,7480,7730,7605,-0.09211145713925363
testvideo,7520,7770,7645,-0.09147702370371137
testvideo,7560,7810,7685,-0.08869032348905294
testvideo,7600,7850,7725,-0.08395915372031079
testvideo,7640,7890,7765,-0.0743619650602341
testvideo,7680,7930,7805,-0.06719094142317775
testvideo,7720,7970,7845,-0.05668943694659644
testvideo,7760,8010,7885,-0.05202116285051619
testvideo,7800,8050,7925,-0.04871101890291486
testvideo,7840,8090,7965,-0.04399505630135537
testvideo,7880,8130,8005,-0.041426602751016624
testvideo,7920,8170,8045,-0.03866189292498997
testvideo,7960,8210,8085,-0.037381959812981744
testvideo,8000,8250,8125,-0.035629459789821086
testvideo,8040,8290,8165,-0.038805417716503136
testvideo,8080,8330,8205,-0.043059121817350374
testvideo,8120,8370,8245,-0.03886853344738482
testvideo,8160,8410,8285,-0.03281539252826145
testvideo,8200,8450,8325,-0.020924112626484463
testvideo,8240,8490,8365,-0.0008906926959752898
testvideo,8280,8530,8405,0.007105583325028433
testvideo,8320,8570,8445,0.01778322085738182
testvideo,8360,8610,8485,0.029321923851966858
testvideo,8400,8650,8525,0.020208707877567844
testvideo,8440,8690,8565,-0.0049540735781192745
testvideo,8480,8730,8605,-0.021709468215703964
testvideo,8520,8770,8645,-0.038595596328377724
testvideo,8560,8810,8685,-0.06293502449989317
testvideo,8600,8850,8725,-0.0732583659035819
testvideo,8640,8890,8765,-0.07779301490102496
testvideo,8680,8930,8805,-0.08204350620508194
testvideo,8720,8970,8845,-0.08381222188472746
testvideo,8760,9010,8885,-0.08500413383756365
testvideo,8800,9050,8925,-0.08391864384923663
testvideo,8840,9090,8965,-0.0826798507145473
testvideo,8880,9130,9005,-0.07960869371891022
testvideo,8920,9170,9045,-0.07595765963196754
testvideo,8960,9210,9085,-0.07006643499646867
testvideo,9000,9250,9125,-0.06623418416295732
testvideo,9040,9290,9165,-0.06181101713861737
testvideo,9080,9330,9205,-0.05446893721818923
testvideo,9120,9370,9245,-0.04994689300656317
testvideo,9160,9410,9285,-0.047050952911376946
testvideo,9200,9450,9325,-0.04167815617152622
testvideo,9240,9490,9365,-0.03523568170411247
testvideo,9280,9530,9405,-0.027788490056991584
testvideo,9320,9570,9445,-0.02379111200571061
testvideo,9360,9610,9485,-0.020071201026439667
testvideo,9400,9650,9525,-0.012233444622584735
testvideo,9440,9690,9565,-0.00895558084760391
testvideo,9480,9730,9605,-0.006568759679794291
testvideo,9520,9770,9645,-0.004690278321504579
testvideo,9560,9810,9685,-0.0037747453898191417
testvideo,9600,9850,9725,-0.0025794442210878843
testvideo,9640,9890,9765,-0.002662665077618214
testvideo,9680,9930,9805,-0.0037918069532939685
testvideo,9720,9970,9845,-0.007161304354667698
testvideo,9760,10010,9885,-0.009993921965360673
testvideo,9800,10050,9925,-0.015401799763952007
testvideo,9840,10090,9965,-0.01936429526124684
testvideo,9880,10130,10005,-0.024230605789593306
testvideo,9920,10170,10045,-0.03226200304925443
testvideo,9960,10210,10085,-0.03711448051035405
testvideo,10000,10250,10125,-0.04405953628676279
testvideo,10040,10290,10165,-0.04707275118146624
testvideo,10080,10330,10205,-0.04989638073103768
testvideo,10120,10370,10245,-0.051004067063331604
testvideo,10160,10410,10285,-0.04978177696466446
testvideo,10200,10450,10325,-0.04764990881085395
testvideo,10240,10490,10365,-0.04422337242535183
testvideo,10280,10530,10405,-0.04188189761979239
testvideo,10320,10570,10445,-0.039242722094058984
testvideo,10360,10610,10485,-0.03735392913222312
testvideo,10400,10650,10525,-0.036607604473829256
testvideo,10440,10690,10565,-0.03924010055405752
testvideo,10480,10730,10605,-0.04238759619849068
testvideo,10520,10770,10645,-0.04581530605043682
testvideo,10560,10810,10685,-0.05231105163693428
testvideo,10600,10850,10725,-0.05639699473977088
testvideo,10640,10890,10765,-0.0639182882649558
testvideo,10680,10930,10805,-0.06687308422156743
testvideo,10720,10970,10845,-0.06898563461644308
testvideo,10760,11010,10885,-0.07114983350038528
testvideo,10800,11050,10925,-0.0731293223798275
testvideo,10840,11090,10965,-0.07429443299770355
testvideo,10880,11130,11005,-0.07409760355949402
testvideo,10920,11170,11045,-0.07365452391760692
testvideo,10960,11210,11085,-0.07222855091094973
testvideo,11000,11250,11125,-0.06924498826265338
testvideo,11040,11290,11165,-0.06390673773629328
testvideo,11080,11330,11205,-0.06056930976254604
testvideo,11120,11370,11245,-0.05692233783858166
testvideo,11160,11410,11285,-0.048607023432850865
testvideo,11200,11450,11325,-0.04462761059403423
testvideo,11240,11490,11365,-0.0416207164525986
testvideo,11280,11530,11405,-0.03947454052312035
testvideo,11320,11570,11445,-0.038125291466712966
testvideo,11360,11610,11485,-0.038026330992579474
testvideo,11400,11650,11525,-0.040348267182707793
testvideo,11440,11690,11565,-0.042775701731443405
testvideo,11480,11730,11605,-0.046852871775627115
testvideo,11520,11770,11645,-0.050191336444446004
testvideo,11560,11810,11685,-0.053780366267476745
testvideo,11600,11850,11725,-0.05888517200946808
testvideo,11640,11890,11765,-0.06239977851510049
testvideo,11680,11930,11805,-0.06744602109704702
testvideo,11720,11970,11845,-0.06866792057241715
testvideo,11760,12010,11885,-0.06910269813878199
testvideo,11800,12050,11925,-0.06509617902338506
testvideo,11840,12090,11965,-0.062468230724334724
testvideo,11880,12130,12005,-0.05798899701663424
testvideo,11920,12170,12045,-0.054775868143354126
testvideo,11960,12210,12085,-0.05473681858607699
testvideo,12000,12250,12125,-0.05673992261290548
testvideo,12040,12290,12165,-0.057753238826990114
testvideo,12080,12330,12205,-0.06024567570005144
testvideo,12120,12370,12245,-0.06115981084959848
testvideo,12160,12410,12285,-0.06139338868004935
testvideo,12200,12450,12325,-0.057527501136064536
testvideo,12240,12490,12365,-0.055234491825103774
testvideo,12280,12530,12405,-0.05381400883197786
testvideo,12320,12570,12445,-0.053190691130501906
testvideo,12360,12610,12485,-0.05438514266695297
testvideo,12400,12650,12525,-0.05675177648663523
testvideo,12440,12690,12565,-0.05828734487295153
testvideo,12480,12730,12605,-0.0593799911439419
testvideo,12520,12770,12645,-0.0615320248263223
testvideo,12560,12810,12685,-0.05951831596238274
testvideo,12600,12850,12725,-0.05501789280346464
testvideo,12640,12890,12765,-0.029682900756597536
testvideo,12680,12930,12805,-0.01660048216581347
testvideo,12720,12970,12845,0.0034210341317312703
testvideo,12760,13010,12885,0.01692214395318709
testvideo,12800,13050,12925,0.026981730546270077
testvideo,12840,13090,12965,0.03252480737864971
testvideo,12880,13130,13005,0.02650632523000241
testvideo,12920,13170,13045,0.013931617140769983
testvideo,12960,13210,13085,0.004047940884317702
testvideo,13000,13250,13125,-0.00687182375362938
testvideo,13040,13290,13165,-0.02804972603917119
testvideo,13080,13330,13205,-0.040787685662507976
testvideo,13120,13370,13245,-0.05972549319267271
testvideo,13160,13410,13285,-0.06789933783667426
testvideo,13200,13450,13325,-0.0748617478779384
testvideo,13240,13490,13365,-0.07433443516492844
testvideo,13280,13530,13405,-0.07060163840651512
testvideo,13320,13570,13445,-0.06549011915922165
testvideo,13360,13610,13485,-0.05647697193281993
testvideo,13400,13650,13525,-0.04720667430332731
testvideo,13440,13690,13565,-0.03333775326609612
testvideo,13480,13730,13605,-0.02708949893712998
testvideo,13520,13770,13645,-0.022090356796979904
testvideo,13560,13810,13685,-0.0156540104321071
testvideo,13600,13850,13725,-0.012924228395734498
testvideo,13640,13890,13765,-0.012318483420780726
testvideo,13680,13930,13805,-0.01439310610294342
testvideo,13720,13970,13845,-0.015927638858556747
testvideo,13760,14010,13885,-0.018139077084405073
testvideo,13800,14050,13925,-0.02050150718007768
testvideo,13840,14090,13965,-0.02339989372662134
testvideo,13880,14130,14005,-0.028089337050914737
testvideo,13920,14170,14045,-0.030773602426052073
testvideo,13960,14210,14085,-0.035364248922892964
testvideo,14000,14250,14125,-0.03800197158540997
testvideo,14040,14290,14165,-0.040387098278318136
testvideo,14080,14330,14205,-0.04384709149599076
testvideo,14120,14370,14245,-0.04609960317611694
testvideo,14160,14410,14285,-0.04778672382235528
testvideo,14200,14450,14325,-0.05019623041152954
testvideo,14240,14490,14365,-0.05152558854648046
testvideo,14280,14530,14405,-0.05366242304444313
testvideo,14320,14570,14445,-0.05642773211002351
testvideo,14360,14610,14485,-0.05845914781093598
testvideo,14400,14650,14525,-0.06157571077346803
testvideo,14440,14690,14565,-0.06418248585292272
testvideo,14480,14730,14605,-0.057486925274133675
testvideo,14520,14770,14645,-0.04470979236066341
testvideo,14560,14810,14685,-0.03246841579675673
testvideo,14600,14850,14725,-0.011445662805012271
testvideo,14640,14890,14765,0.0034624700035367933
testvideo,14680,14930,14805,0.018822427306856442
testvideo,14720,14970,14845,0.028139695525169393
testvideo,14760,15010,14885,0.02665758132934571
testvideo,14800,15050,14925,0.014338736023221702
testvideo,14840,15090,14965,0.0031136316912514822
testvideo,14880,15130,15005,-0.01079467577593668
testvideo,14920,15170,15045,-0.03319384902715685
testvideo,14960,15210,15085,-0.04520297050476076
testvideo,15000,15250,15125,-0.05745760883603779
testvideo,15040,15290,15165,-0.06229534319468909
testvideo,15080,15330,15205,-0.06551327449934825
testvideo,15120,15370,15245,-0.06484823301434517
testvideo,15160,15410,15285,-0.06199668720364571
testvideo,15200,15450,15325,-0.05912138149142266
testvideo,15240,15490,15365,-0.057363999741418044
testvideo,15280,15530,15405,-0.05554761205400743
testvideo,15320,15570,15445,-0.05355016514658932
testvideo,15360,15610,15485,-0.052121318876743365
testvideo,15400,15650,15525,-0.050399605184793514
testvideo,15440,15690,15565,-0.04933774471282961
testvideo,15480,15730,15605,-0.051116368600300395
testvideo,15520,15770,15645,-0.05480070039629937
testvideo,15560,15810,15685,-0.05599642917513848
testvideo,15600,15850,15725,-0.05729756131768226
testvideo,15640,15890,15765,-0.060124865600040975
testvideo,15680,15930,15805,-0.06146583386829922
testvideo,15720,15970,15845,-0.062052509614399516
testvideo,15760,16010,15885,-0.06370804086327554
testvideo,15800,16050,15925,-0.06529201194643977
testvideo,15840,16090,15965,-0.06896488155637472
testvideo,15880,16130,16005,-0.07141114984239853
testvideo,15920,16170,16045,-0.07293237958635604
testvideo,15960,16210,16085,-0.07106583938002586
testvideo,16000,16250,16125,-0.06898882612586021
testvideo,16040,16290,16165,-0.06494429707527162
testvideo,16080,16330,16205,-0.06119006446429663
testvideo,16120,16370,16245,-0.05776667169162207
testvideo,16160,16410,16285,-0.058398209512233755
testvideo,16200,16450,16325,-0.06041278317570687
testvideo,16240,16490,16365,-0.06326979771256448
testvideo,16280,16530,16405,-0.06934753486088345
testvideo,16320,16570,16445,-0.07369859303746905
