video_id,start_ms,end_ms,center_ms,movement
testvideo,0,250,125,0.04281344336603713
testvideo,40,290,165,0.0683892932298569
testvideo,80,330,205,0.0941269485459012
testvideo,120,370,245,0.12403759722268766
testvideo,160,410,285,0.14244843088051223
testvideo,200,450,325,0.1533004077763797
testvideo,240,490,365,0.1519508934344692
testvideo,280,530,405,0.1438592925706961
testvideo,320,570,445,0.12782145040701534
testvideo,360,610,485,0.11273778717422876
testvideo,400,650,525,0.09101078847768138
testvideo,440,690,565,0.06666299475651491
testvideo,480,730,605,0.049062449464768516
testvideo,520,770,645,0.032518471065935535
testvideo,560,810,685,0.02063232610788923
testvideo,600,850,725,0.015104817993168167
testvideo,640,890,765,0.02201845923449264
testvideo,680,930,805,0.045550704189454484
testvideo,720,970,845,0.08609093846821854
testvideo,760,1010,885,0.16536263191741415
testvideo,800,1050,925,0.20172719114268145
testvideo,840,1090,965,0.2644315123467737
testvideo,880,1130,1005,0.281400562088363
testvideo,920,1170,1045,0.27171386624165833
testvideo,960,1210,1085,0.25026026260608636
testvideo,1000,1250,1125,0.22362957256083218
testvideo,1040,1290,1165,0.20100516545945804
testvideo,1080,1330,1205,0.1608710338250873
testvideo,1120,1370,1245,0.13646986007967626
testvideo,1160,1410,1285,0.0907727885729606
testvideo,1200,1450,1325,0.06378298088457608
testvideo,1240,1490,1365,0.051808920421695895
testvideo,1280,1530,1405,0.03193664594130086
testvideo,1320,1570,1445,0.02780327171872096
testvideo,1360,1610,1485,0.05546836683890342
testvideo,1400,1650,1525,0.07632158650715737
testvideo,1440,1690,1565,0.09948867631579787
testvideo,1480,1730,1605,0.1304405823370903
testvideo,1520,1770,1645,0.14596236978201518
testvideo,1560,1810,1685,0.16401756618316335
testvideo,1600,1850,1725,0.15893240955248863
testvideo,1640,1890,1765,0.15864660476519907
testvideo,1680,1930,1805,0.13996248723356752
testvideo,1720,1970,1845,0.13304447277000175
testvideo,1760,2010,1885,0.11830433045236559
testvideo,1800,2050,1925,0.09070431265501312
testvideo,1840,2090,1965,0.06746366617176996
testvideo,1880,2130,2005,0.0390491919134436
testvideo,1920,2170,2045,0.030766502842371566
testvideo,1960,2210,2085,0.019526740431359876
testvideo,2000,2250,2125,0.036617886427794295
testvideo,2040,2290,2165,0.04475287675528926
testvideo,2080,2330,2205,0.06378391912666222
testvideo,2120,2370,2245,0.09764105155673718
testvideo,2160,2410,2285,0.12900201424650867
testvideo,2200,2450,2325,0.14280241119218196
testvideo,2240,2490,2365,0.15962479647782182
testvideo,2280,2530,2405,0.1718238375306689
testvideo,2320,2570,2445,0.1701408366689295
testvideo,2360,2610,2485,0.16170503495592803
testvideo,2400,2650,2525,0.13107628449971057
testvideo,2440,2690,2565,0.10987710949235885
testvideo,2480,2730,2605,0.08478127493166798
testvideo,2520,2770,2645,0.04926959949578722
testvideo,2560,2810,2685,0.02768863943291673
testvideo,2600,2850,2725,0.014625202660424332
testvideo,2640,2890,2765,0.01658613365281031
testvideo,2680,2930,2805,0.030712304571648148
testvideo,2720,2970,2845,0.04812327708309445
testvideo,2760,3010,2885,0.07513308787901062
testvideo,2800,3050,2925,0.11001820766785832
testvideo,2840,3090,2965,0.12862678897765784
testvideo,2880,3130,3005,0.13251336509367428
testvideo,2920,3170,3045,0.14496133841485023
testvideo,2960,3210,3085,0.12380840484829714
testvideo,3000,3250,3125,0.1041560545810911
testvideo,3040,3290,3165,0.09482778404255263
testvideo,3080,3330,3205,0.07359905407523097
testvideo,3120,3370,3245,0.06480776650663851
testvideo,3160,3410,3285,0.046602928060478534
testvideo,3200,3450,3325,0.03512930813380663
testvideo,3240,3490,3365,0.036722791203826974
testvideo,3280,3530,3405,0.05006738164781023
testvideo,3320,3570,3445,0.06047196772688412
testvideo,3360,3610,3485,0.06577164653441851
testvideo,3400,3650,3525,0.06516605678377951
testvideo,3440,3690,3565,0.07080462204236192
testvideo,3480,3730,3605,0.12804828046261538
testvideo,3520,3770,3645,0.13172452327650566
testvideo,3560,3810,3685,0.17562123685141243
testvideo,3600,3850,3725,0.23629711197136452
testvideo,3640,3890,3765,0.29566817708865273
testvideo,3680,3930,3805,0.3111145761050234
testvideo,3720,3970,3845,0.26264034545034015
testvideo,3760,4010,3885,0.2443234464700469
testvideo,3800,4050,3925,0.19094561134817978
testvideo,3840,4090,3965,0.13251399026127486
testvideo,3880,4130,4005,0.09314244366138325
testvideo,3920,4170,4045,0.06362499654405647
testvideo,3960,4210,4085,0.10758398613038694
testvideo,4000,4250,4125,0.1561403052002683
testvideo,4040,4290,4165,0.2029908017996284
testvideo,4080,4330,4205,0.232165085507153
testvideo,4120,4370,4245,0.2455660061555918
testvideo,4160,4410,4285,0.23528449591248707
