video_id,start_ms,end_ms,center_ms,punch_volume
testvideo,7080,7330,7205,0
testvideo,7120,7370,7245,0
testvideo,7160,7410,7285,0
testvideo,7200,7450,7325,0
testvideo,7240,7490,7365,0
testvideo,7280,7530,7405,0
testvideo,7320,7570,7445,0
testvideo,7360,7610,7485,0
testvideo,7400,7650,7525,0
testvideo,7440,7690,7565,0
testvideo,7480,7730,7605,0
testvideo,7520,7770,7645,0
testvideo,7560,7810,7685,0
testvideo,7600,7850,7725,0
testvideo,7640,7890,7765,0
testvideo,7680,7930,7805,0
testvideo,7720,7970,7845,0
testvideo,7760,8010,7885,0
testvideo,7800,8050,7925,1
testvideo,7840,8090,7965,1
testvideo,7880,8130,8005,1
testvideo,7920,8170,8045,1
testvideo,7960,8210,8085,1
testvideo,8000,8250,8125,1
testvideo,8040,8290,8165,1
testvideo,8080,8330,8205,1
testvideo,8120,8370,8245,1
testvideo,8160,8410,8285,1
testvideo,8200,8450,8325,1
testvideo,8240,8490,8365,1
testvideo,8280,8530,8405,1
testvideo,8320,8570,8445,0
testvideo,8360,8610,8485,0
testvideo,8400,8650,8525,0
testvideo,8440,8690,8565,0
testvideo,8480,8730,8605,0
testvideo,8520,8770,8645,0
testvideo,8560,8810,8685,0
testvideo,8600,8850,8725,0
testvideo,8640,8890,8765,0
testvideo,8680,8930,8805,0
testvideo,8720,8970,8845,0
testvideo,8760,9010,8885,0
testvideo,8800,9050,8925,0
testvideo,8840,9090,8965,0
testvideo,8880,9130,9005,0
testvideo,8920,9170,9045,0
testvideo,8960,9210,9085,0
testvideo,9000,9250,9125,0
testvideo,9040,9290,9165,0
testvideo,9080,9330,9205,0
testvideo,9120,9370,9245,0
testvideo,9160,9410,9285,0
testvideo,9200,9450,9325,0
testvideo,9240,9490,9365,0
testvideo,9280,9530,9405,0
testvideo,9320,9570,9445,0
testvideo,9360,9610,9485,0
testvideo,9400,9650,9525,0
testvideo,9440,9690,9565,0
testvideo,9480,9730,9605,0
testvideo,9520,9770,9645,0
testvideo,9560,9810,9685,0
testvideo,9600,9850,9725,0
testvideo,9640,9890,9765,0
testvideo,9680,9930,9805,0
testvideo,9720,9970,9845,0
testvideo,9760,10010,9885,0
testvideo,9800,10050,9925,0
testvideo,9840,10090,9965,0
testvideo,9880,10130,10005,0
testvideo,9920,10170,10045,0
testvideo,9960,10210,10085,0
testvideo,10000,10250,10125,0
testvideo,10040,10290,10165,0
testvideo,10080,10330,10205,0
testvideo,10120,10370,10245,0
testvideo,10160,10410,10285,0
testvideo,10200,10450,10325,0
testvideo,10240,10490,10365,0
testvideo,10280,10530,10405,0
testvideo,10320,10570,10445,0
testvideo,10360,10610,10485,0
testvideo,10400,10650,10525,0
testvideo,10440,10690,10565,0
testvideo,10480,10730,10605,0
testvideo,10520,10770,10645,0
testvideo,10560,10810,10685,0
testvideo,10600,10850,10725,0
testvideo,10640,10890,10765,0
testvideo,10680,10930,10805,0
testvideo,10720,10970,10845,0
testvideo,10760,11010,10885,0
testvideo,10800,11050,10925,0
testvideo,10840,11090,10965,0
testvideo,10880,11130,11005,0
testvideo,10920,11170,11045,0
testvideo,10960,11210,11085,0
testvideo,11000,11250,11125,0
testvideo,11040,11290,11165,0
testvideo,11080,11330,11205,0
testvideo,11120,11370,11245,0
testvideo,11160,11410,11285,0
testvideo,11200,11450,11325,0
testvideo,11240,11490,11365,0
testvideo,11280,11530,11405,0
testvideo,11320,11570,11445,0
testvideo,11360,11610,11485,0
testvideo,11400,11650,11525,0
testvideo,11440,11690,11565,0
testvideo,11480,11730,11605,0
testvideo,11520,11770,11645,0
testvideo,11560,11810,11685,0
testvideo,11600,11850,11725,0
testvideo,11640,11890,11765,0
testvideo,11680,11930,11805,0
testvideo,11720,11970,11845,0
testvideo,11760,12010,11885,0
testvideo,11800,12050,11925,0
testvideo,11840,12090,11965,0
testvideo,11880,12130,12005,0
testvideo,11920,12170,12045,0
testvideo,11960,12210,12085,0
testvideo,12000,12250,12125,0
testvideo,12040,12290,12165,0
testvideo,12080,12330,12205,0
testvideo,12120,12370,12245,0
testvideo,12160,12410,12285,0
testvideo,12200,12450,12325,0
testvideo,12240,12490,12365,0
testvideo,12280,12530,12405,0
testvideo,12320,12570,12445,1
testvideo,12360,12610,12485,1
testvideo,12400,12650,12525,1
testvideo,12440,12690,12565,1
testvideo,12480,12730,12605,1
testvideo,12520,12770,12645,1
testvideo,12560,12810,12685,1
testvideo,12600,12850,12725,1
testvideo,12640,12890,12765,1
testvideo,12680,12930,12805,1
testvideo,12720,12970,12845,1
testvideo,12760,13010,12885,0
testvideo,12800,13050,12925,0
testvideo,12840,13090,12965,0
testvideo,12880,13130,13005,0
testvideo,12920,13170,13045,0
