280,570,290
1000,1250,250
2400,2690,290
2920,4210,1290
5720,6130,410
7640,7890,250
8080,8410,330
9400,9730,330
10960,11330,370
12160,12410,250
12600,12850,250
13400,13770,370
14480,14730,250
14800,15290,490
16440,16730,290
16880,17930,1050
18280,18530,250
20760,21050,290
21160,21650,490
21800,22250,450
22840,23490,650
24280,24530,250
24680,25090,410
25360,25650,290
26800,27170,370
27320,27610,290
27920,28290,370
28440,28690,250
30400,30730,330
32600,32890,290
33520,34130,610
34240,34610,370
34720,35090,370
37000,37410,410
37600,37930,330
38120,38410,290
38440,38730,290
40320,41130,810
41400,41810,410
42000,42290,290
42720,42970,250
45200,45650,450
45680,46090,410
48360,48890,530
48920,49570,650
51600,52130,530
52240,52970,730
53000,53330,330
53600,53850,250
54880,55170,290
58240,58850,610
59120,59530,410
59680,60050,370
60600,60930,330
61960,62290,330
62320,63170,850
63400,63730,330
65360,66050,690
66160,66650,490
66680,67090,410
67200,67490,290
69960,70210,250
70480,70850,370
71240,71530,290
72720,73090,370
73320,73970,650
75320,75770,450
76040,76570,530
76760,77050,290
78440,79810,1370
81120,81690,570
82720,83010,290
83760,84210,450
86280,86730,450
86920,87690,770
87880,88130,250
88200,88530,330
89440,90450,1010
90720,91050,330
93000,93490,490
93760,94650,890
97480,97730,250
97800,98170,370
100720,101010,290
101040,101450,410
101720,102090,370
104320,104770,450
107280,107610,330
108680,109050,370
110240,110530,290
111040,111770,730
112080,112490,410
114000,114330,330
114600,115250,650
115920,116730,810
116880,117250,370
117400,118010,610
118520,118850,330
119360,119770,410
120080,120450,370
120480,120730,250
122040,122290,250
122880,123370,490
123440,123730,290
123960,124290,330
124360,125890,1530
126760,127090,330
127440,128050,610
128160,128890,730
129120,129570,450
130320,130810,490
131240,131530,290
131560,131850,290
134640,135250,610
135840,136170,330
138320,138610,290
138640,139050,410
141200,141930,730
143520,143850,330
144040,144290,250
145760,146210,450
148200,148490,290
148640,148890,250
150440,151050,610
151360,152130,770
152800,153690,890
154960,155210,250
156080,156330,250
156360,157050,690
158320,158650,330
158960,159210,250
159720,160050,330
161240,161890,650
161920,162530,610
162720,163010,290
163760,164090,330
164880,165250,370
165880,166130,250
166800,167050,250
168760,169290,530
171120,171370,250
171440,172010,570
173480,174010,530
174040,174330,290
175640,175930,290
176960,177250,290
178360,178610,250
181280,181530,250
184240,185090,850
185880,186130,250
186200,186650,450
186960,187370,410
188160,188650,490
189000,189290,290
189880,190370,490
191800,192290,490
194680,195130,450
195360,195890,530
196640,197650,1010
197960,198650,690
199040,199730,690
199760,200290,530
202120,202730,610
203440,203730,290
205760,206010,250
